publication_id,keyword_id,score,pub_id,kw_id
634705,69482,0.474044,p634705,k69482
636652,101,0.492026,p636652,k101
636652,1906,0.582411,p636652,k1906
636652,5995,0.501493,p636652,k5995
636652,9823,0.554905,p636652,k9823
636652,15007,0.518039,p636652,k15007
636652,16626,0.224126,p636652,k16626
636652,22537,0.312849,p636652,k22537
636652,24469,0.361114,p636652,k24469
636652,30376,0.31064,p636652,k30376
637249,308,0.205083,p637249,k308
637249,5235,0.409902,p637249,k5235
637249,6281,0.0771254,p637249,k6281
637249,16629,0.27418,p637249,k16629
637249,18500,0.0748367,p637249,k18500
637249,24751,0.00679181,p637249,k24751
637249,54596,0.322343,p637249,k54596
637249,64921,0.0960892,p637249,k64921
637249,65049,0.181089,p637249,k65049
649244,199,0.00318396,p649244,k199
649244,1017,0.343697,p649244,k1017
649244,3524,0.290462,p649244,k3524
649244,11395,0.00388333,p649244,k11395
649244,15113,0.00787787,p649244,k15113
649244,31183,0.302866,p649244,k31183
649244,35592,0.171606,p649244,k35592
649244,36485,0.37417,p649244,k36485
649244,61873,0.231168,p649244,k61873
659821,214,0.286309,p659821,k214
659821,1630,0.00136847,p659821,k1630
659821,4887,0.227873,p659821,k4887
659821,5271,0.00145755,p659821,k5271
659821,11085,0.00067374,p659821,k11085
659821,15411,0.454799,p659821,k15411
659821,18518,0.00108816,p659821,k18518
659821,27434,0.00156155,p659821,k27434
659821,33522,0.000915097,p659821,k33522
706544,29,0.243522,p706544,k29
706544,405,0.166357,p706544,k405
706544,494,0.230737,p706544,k494
706544,1750,0.380481,p706544,k1750
706544,2965,0.289511,p706544,k2965
706544,5221,0.405915,p706544,k5221
706544,9750,0.222424,p706544,k9750
706544,41103,0.198535,p706544,k41103
706544,41378,0.229444,p706544,k41378
736319,119,0.463854,p736319,k119
736319,3682,0.327265,p736319,k3682
736319,4111,0.469515,p736319,k4111
736319,6434,0.457521,p736319,k6434
736319,10271,0.572606,p736319,k10271
736319,22458,0.371844,p736319,k22458
736319,33254,0.340407,p736319,k33254
736319,52291,0.325062,p736319,k52291
736319,74823,0.268125,p736319,k74823
755599,2026,0.38974,p755599,k2026
755599,4727,0.00665065,p755599,k4727
755599,5088,0.0725351,p755599,k5088
755599,5406,0.223153,p755599,k5406
755599,5689,0.00199148,p755599,k5689
755599,6262,0.00267787,p755599,k6262
755599,12912,0.350767,p755599,k12912
755599,15308,0.357568,p755599,k15308
755599,67417,0.0706408,p755599,k67417
770871,122,9.45592E-05,p770871,k122
770871,702,0.273335,p770871,k702
770871,12359,0.308199,p770871,k12359
770871,17760,0.000246634,p770871,k17760
770871,19096,0.278313,p770871,k19096
770871,19140,0.000833053,p770871,k19140
770871,34137,0.25204,p770871,k34137
770871,46199,0.284888,p770871,k46199
770871,61163,0.430778,p770871,k61163
777162,507,0.290318,p777162,k507
777162,693,0.344052,p777162,k693
777162,2735,0.463483,p777162,k2735
777162,6850,0.299231,p777162,k6850
777162,8539,0.447785,p777162,k8539
777162,26669,0.370693,p777162,k26669
777162,26993,0.369948,p777162,k26993
777162,44844,0.55241,p777162,k44844
777162,50800,0.347396,p777162,k50800
780449,789,0.0807713,p780449,k789
780449,2357,0.101921,p780449,k2357
780449,2953,0.0686411,p780449,k2953
780449,3909,0.0858232,p780449,k3909
780449,4079,0.11507,p780449,k4079
780449,4840,0.29774,p780449,k4840
780449,12899,0.182355,p780449,k12899
780449,23708,0.0536237,p780449,k23708
780449,36441,0.0456528,p780449,k36441
788209,587,0.000849089,p788209,k587
788209,600,0.00205196,p788209,k600
788209,4870,0.00113095,p788209,k4870
788209,5193,0.383922,p788209,k5193
788209,11249,0.154976,p788209,k11249
788209,12844,0.166396,p788209,k12844
788209,20383,0.316752,p788209,k20383
788209,42592,0.206018,p788209,k42592
788209,50398,0.00401714,p788209,k50398
791572,509,0.290148,p791572,k509
791572,2555,0.00923574,p791572,k2555
791572,2572,0.229395,p791572,k2572
791572,6621,0.163887,p791572,k6621
791572,12108,0.2119,p791572,k12108
791572,25456,0.289909,p791572,k25456
791572,29483,0.00457999,p791572,k29483
791572,29659,0.27158,p791572,k29659
791572,78512,0.228162,p791572,k78512
800331,2107,0.303817,p800331,k2107
800331,7429,0.296199,p800331,k7429
800331,11735,0.468129,p800331,k11735
800331,13121,0.21383,p800331,k13121
800331,26363,0.320534,p800331,k26363
800331,48088,0.602172,p800331,k48088
800331,57370,0.52635,p800331,k57370
800331,58624,0.349747,p800331,k58624
800331,63110,0.287738,p800331,k63110
833668,867,0.143684,p833668,k867
833668,2412,0.144469,p833668,k2412
833668,3786,0.191257,p833668,k3786
833668,6618,0.163434,p833668,k6618
833668,13381,0.171786,p833668,k13381
833668,30226,0.00480937,p833668,k30226
833668,47183,0.242328,p833668,k47183
833668,47840,0.354112,p833668,k47840
833668,82888,0.133675,p833668,k82888
839768,692,0.344101,p839768,k692
839768,1832,0.0999479,p839768,k1832
839768,3975,0.0518029,p839768,k3975
839768,5445,0.0608291,p839768,k5445
839768,6101,0.113416,p839768,k6101
839768,6766,0.106148,p839768,k6766
839768,31351,0.149893,p839768,k31351
839768,36694,0.0315645,p839768,k36694
839768,72978,0.0250469,p839768,k72978
851276,291,0.00386341,p851276,k291
851276,1940,0.0076644,p851276,k1940
851276,3546,0.302033,p851276,k3546
851276,4935,0.151151,p851276,k4935
851276,9734,0.00518076,p851276,k9734
